id,review_date,product_type,product_name,review_text
19,2022-01-19,summoning candle,Midnight Hotline,The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Comes with a hold music curse whenever you put it out. Lighting it after midnight connects you to something like customer service for demons. This is a second hand summoning candle called 'Midnight Hotline'. You can still feel a bit of the previous owner's energy in the item.
20,2023-06-09,necromancer's grimoire,HR For Spirits,"Slightly cracked, extremely cursed. My landlord is now a frog and I am being investigated.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'HR For Spirits'. Seller included a warning note that I really should have taken more seriously."
21,2020-12-29,magic carpet,Patchwork Glider,"Arrived with a few scorch marks but functioned perfectly. Five stars, would absolutely risk again.  Previous owner's crumbs are still in the fabric and occasionally reassemble into tiny bread elementals. Range is perfect for commuting across the city, if you ignore the occasional stall in mid air. This is a second hand magic carpet called 'Patchwork Glider'. You can still feel a bit of the previous owner's energy in the item."
22,2025-01-06,lucky charm,Rent Day Rabbit Foot,"You get what you pay for. Good for practice, not for serious demon negotiations.  This is a second hand lucky charm called 'Rent Day Rabbit Foot'. Came with some notes scribbled in the margins that were actually very helpful."
23,2023-02-19,talking sword,Drama Saber,"The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Keeps rating my fighting form like a reality show judge. Will not stop giving unsolicited combat commentary, but it does know weak spots on dragons. This is a second hand talking sword called 'Drama Saber'. Seller included a warning note that I really should have taken more seriously."
24,2025-05-24,love potion,HeartSpark,"Decent condition for second hand magic. Smells like brimstone and lavender.  Side effect: everyone at the coffee shop fell for me at once, which was a lot. This is a second hand love potion called 'HeartSpark'. You can still feel a bit of the previous owner's energy in the item."
25,2022-03-05,dragon egg,Suspicious Rock,"You get what you pay for. Good for practice, not for serious demon negotiations.  Hatched in the sink. Landlord not thrilled, dragon is adorable though. This is a second hand dragon egg called 'Suspicious Rock'. Came with some notes scribbled in the margins that were actually very helpful."
26,2022-11-07,wish coin,Almost Lucky Penny,"Box said 'slightly haunted' but the ghost just gives relationship advice and makes tea. Fantastic value.  Every wish comes true, but slightly misaligned, like using autocorrect on reality. This is a second hand wish coin called 'Almost Lucky Penny'. Came with some notes scribbled in the margins that were actually very helpful."
27,2023-06-02,invisibility cloak,Hide N Seek Pro,"Advertised as 'great for beginners' but the manual is in screams and the refund policy is a joke.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Hide N Seek Pro'. Seller included a warning note that I really should have taken more seriously."
28,2025-10-03,necromancer's grimoire,Raise And Shine Handbook,"Previous owner clearly did not read the manual. Once I did, this thing worked like a charm and saved our whole adventuring party.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Raise And Shine Handbook'. Seller included a warning note that I really should have taken more seriously."
29,2024-08-04,haunted ring,Ring of Red Flags,Listing said 'lightly cursed' but I am now on my third exorcist this week.  Ring keeps buzzing whenever I text the wrong person. This is a second hand haunted ring called 'Ring of Red Flags'. You can still feel a bit of the previous owner's energy in the item.
30,2024-04-24,truth serum,Blabbermouth Tonic,"It works, but there is definitely some history attached. You can hear it sigh every time you pick it up.  This is a second hand truth serum called 'Blabbermouth Tonic'. Came with some notes scribbled in the margins that were actually very helpful."
31,2024-07-06,lucky charm,Lottery Maybe Keychain,"Was a bit skeptical about buying a used item, but it works perfectly. Got my promotion, my crush, and a rent controlled castle.  This is a second hand lucky charm called 'Lottery Maybe Keychain'. Clearly had a long life before me, but it still has plenty of magic left."
32,2022-03-07,invisibility cloak,Social Exit Cape,"Not as described, but still kind of useful. Just do not use it during a full moon or job interview.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Social Exit Cape'. You can still feel a bit of the previous owner's energy in the item."
33,2025-07-14,summoning candle,Customer Support Candle,"Does technically work, but it keeps calling my mom to report my life choices.  Comes with a hold music curse whenever you put it out. Lighting it after midnight connects you to something like customer service for demons. This is a second hand summoning candle called 'Customer Support Candle'. You can still feel a bit of the previous owner's energy in the item."
34,2022-11-13,summoning candle,Customer Support Candle,"It works, but there is definitely some history attached. You can hear it sigh every time you pick it up.  Comes with a hold music curse whenever you put it out. This is a second hand summoning candle called 'Customer Support Candle'. Came with some notes scribbled in the margins that were actually very helpful."
35,2020-12-21,wish coin,Almost Lucky Penny,"The previous owner's problems were clearly not wiped. I keep getting their exes texting me to break up again.  Every wish comes true, but slightly misaligned, like using autocorrect on reality. This is a second hand wish coin called 'Almost Lucky Penny'. Came with some notes scribbled in the margins that were actually very helpful."
36,2022-03-21,necromancer's grimoire,Group Chat With The Dead,The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Group Chat With The Dead'. You can still feel a bit of the previous owner's energy in the item.
37,2023-02-25,time hourglass,Laggy Hourglass,"Not as described, but still kind of useful. Just do not use it during a full moon or job interview.  Great for getting five more minutes of sleep which somehow become an extra week in 2003. This is a second hand time hourglass called 'Laggy Hourglass'. Clearly had a long life before me, but it still has plenty of magic left."
38,2025-11-11,wish coin,Almost Lucky Penny,"Functionally fine, just very unpredictable. Use only if your insurance covers magical incidents.  Every wish comes true, but slightly misaligned, like using autocorrect on reality. This is a second hand wish coin called 'Almost Lucky Penny'. Clearly had a long life before me, but it still has plenty of magic left."
39,2025-01-02,summoning candle,Customer Support Candle,"Not great, not terrible. Worked twice, set the toaster on fire once.  Lighting it after midnight connects you to something like customer service for demons. Comes with a hold music curse whenever you put it out. This is a second hand summoning candle called 'Customer Support Candle'. Clearly had a long life before me, but it still has plenty of magic left."
40,2025-07-21,cursed doll,Grandma's Knitter,"Bought this second hand and honestly it changed my life. Used it once and now I am technically a minor king of a small valley.  Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. Only speaks at night and only in petty complaints about my life choices. This is a second hand cursed doll called 'Grandma's Knitter'. Seller included a warning note that I really should have taken more seriously."
41,2021-02-06,love potion,Lonely No More Vial,"The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Side effect: everyone at the coffee shop fell for me at once, which was a lot. Ex keeps trying to borrow it, which feels like a red flag. Used it on a dating app meetup and things escalated into a royal engagement. This is a second hand love potion called 'Lonely No More Vial'. You can still feel a bit of the previous owner's energy in the item."
42,2022-08-18,magic carpet,Rug of Maybe Flying,"Second hand was a mistake. Every time I use it, I get what I asked for, plus one minor catastrophe.  Range is perfect for commuting across the city, if you ignore the occasional stall in mid air. This is a second hand magic carpet called 'Rug of Maybe Flying'. Came with some notes scribbled in the margins that were actually very helpful."
43,2024-05-30,haunted ring,Ex Engagement Band,Advertised as 'great for beginners' but the manual is in screams and the refund policy is a joke.  Ring keeps buzzing whenever I text the wrong person. This is a second hand haunted ring called 'Ex Engagement Band'. Seller included a warning note that I really should have taken more seriously.
44,2023-04-24,cursed doll,Grandma's Knitter,"Honestly a bargain. Retail spellbooks are overpriced. This second hand one summoned exactly the right dragon at the right time.  Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. Only speaks at night and only in petty complaints about my life choices. This is a second hand cursed doll called 'Grandma's Knitter'. Seller included a warning note that I really should have taken more seriously."
45,2023-01-14,talking sword,Chatterblade,Box said 'slightly haunted' but the ghost just gives relationship advice and makes tea. Fantastic value.  Keeps rating my fighting form like a reality show judge. This is a second hand talking sword called 'Chatterblade'. Came with some notes scribbled in the margins that were actually very helpful.
46,2023-10-21,enchanted mirror,FilterFree Reflection,"It works, but there is definitely some history attached. You can hear it sigh every time you pick it up.  This is a second hand enchanted mirror called 'FilterFree Reflection'. Came with some notes scribbled in the margins that were actually very helpful."
47,2022-06-12,enchanted mirror,FilterFree Reflection,The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  This is a second hand enchanted mirror called 'FilterFree Reflection'. Seller included a warning note that I really should have taken more seriously.
48,2020-12-13,invisibility cloak,Barely There Cloak,"The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Barely There Cloak'. You can still feel a bit of the previous owner's energy in the item."
49,2022-06-26,magic carpet,Secondhand SkyMat,"Gently used but incredibly powerful. Helped me slay a mid sized dragon and still has charges left.  Previous owner's crumbs are still in the fabric and occasionally reassemble into tiny bread elementals. Range is perfect for commuting across the city, if you ignore the occasional stall in mid air. This is a second hand magic carpet called 'Secondhand SkyMat'. Seller included a warning note that I really should have taken more seriously."
50,2025-05-10,cursed doll,Grandma's Knitter,"Arrived with a few scorch marks but functioned perfectly. Five stars, would absolutely risk again.  Only speaks at night and only in petty complaints about my life choices. Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. This is a second hand cursed doll called 'Grandma's Knitter'. You can still feel a bit of the previous owner's energy in the item."
51,2024-01-02,lucky charm,Lottery Maybe Keychain,"Functionally fine, just very unpredictable. Use only if your insurance covers magical incidents.  This is a second hand lucky charm called 'Lottery Maybe Keychain'. You can still feel a bit of the previous owner's energy in the item."
52,2022-10-13,invisibility cloak,Hide N Seek Pro,"The previous owner's problems were clearly not wiped. I keep getting their exes texting me to break up again.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Hide N Seek Pro'. Clearly had a long life before me, but it still has plenty of magic left."
53,2022-10-25,dragon egg,Suspicious Rock,"Arrived sticky and haunted. The demon will not stop giving me productivity tips at 3 in the morning.  Hatched in the sink. Landlord not thrilled, dragon is adorable though. This is a second hand dragon egg called 'Suspicious Rock'. Came with some notes scribbled in the margins that were actually very helpful."
54,2023-10-31,love potion,Second Chance Brew,"Used it once, woke up with a legally binding contract tattooed on my arm in infernal.  Ex keeps trying to borrow it, which feels like a red flag. This is a second hand love potion called 'Second Chance Brew'. Seller included a warning note that I really should have taken more seriously."
55,2022-02-19,necromancer's grimoire,Group Chat With The Dead,"Not as described, but still kind of useful. Just do not use it during a full moon or job interview.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Group Chat With The Dead'. Came with some notes scribbled in the margins that were actually very helpful."
56,2024-07-19,truth serum,Spill It Drops,Advertised as 'great for beginners' but the manual is in screams and the refund policy is a joke.  This is a second hand truth serum called 'Spill It Drops'. Came with some notes scribbled in the margins that were actually very helpful.
57,2024-11-13,teleportation stone,DelayPort Rock,"Good starter item if you are okay with minor hauntings and occasional time loops.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'DelayPort Rock'. You can still feel a bit of the previous owner's energy in the item."
58,2024-05-18,dragon egg,Fire Hazard Egg,"Advertised as 'great for beginners' but the manual is in screams and the refund policy is a joke.  Hatched in the sink. Landlord not thrilled, dragon is adorable though. This is a second hand dragon egg called 'Fire Hazard Egg'. Came with some notes scribbled in the margins that were actually very helpful."
59,2021-04-18,magic carpet,Rug of Maybe Flying,"Bought this second hand and honestly it changed my life. Used it once and now I am technically a minor king of a small valley.  Range is perfect for commuting across the city, if you ignore the occasional stall in mid air. This is a second hand magic carpet called 'Rug of Maybe Flying'. Came with some notes scribbled in the margins that were actually very helpful."
60,2022-03-05,necromancer's grimoire,Raise And Shine Handbook,"Previous owner clearly did not read the manual. Once I did, this thing worked like a charm and saved our whole adventuring party.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Raise And Shine Handbook'. You can still feel a bit of the previous owner's energy in the item."
61,2022-01-24,cursed doll,Porcelain Trouble,"Gently used but incredibly powerful. Helped me slay a mid sized dragon and still has charges left.  Only speaks at night and only in petty complaints about my life choices. Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. This is a second hand cursed doll called 'Porcelain Trouble'. Clearly had a long life before me, but it still has plenty of magic left."
62,2022-08-14,teleportation stone,MetroSkip Stone,"It works, but there is definitely some history attached. You can hear it sigh every time you pick it up.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'MetroSkip Stone'. Came with some notes scribbled in the margins that were actually very helpful."
63,2021-10-15,enchanted mirror,Mirror of Deep Regrets,Honestly a bargain. Retail spellbooks are overpriced. This second hand one summoned exactly the right dragon at the right time.  This is a second hand enchanted mirror called 'Mirror of Deep Regrets'. Seller included a warning note that I really should have taken more seriously.
64,2022-08-23,invisibility cloak,Introvert's Blanket,"The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Introvert's Blanket'. Clearly had a long life before me, but it still has plenty of magic left."
65,2023-11-01,cursed doll,Grandma's Knitter,"Honestly a bargain. Retail spellbooks are overpriced. This second hand one summoned exactly the right dragon at the right time.  Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. Only speaks at night and only in petty complaints about my life choices. This is a second hand cursed doll called 'Grandma's Knitter'. Came with some notes scribbled in the margins that were actually very helpful."
66,2021-11-02,summoning candle,DemonLite,"Had to recalibrate the runes, but after that it works mostly as advertised.  Lighting it after midnight connects you to something like customer service for demons. Comes with a hold music curse whenever you put it out. This is a second hand summoning candle called 'DemonLite'. You can still feel a bit of the previous owner's energy in the item."
67,2021-12-19,necromancer's grimoire,HR For Spirits,"Advertised as 'great for beginners' but the manual is in screams and the refund policy is a joke.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'HR For Spirits'. Clearly had a long life before me, but it still has plenty of magic left."
68,2022-06-04,enchanted mirror,FilterFree Reflection,Honestly a bargain. Retail spellbooks are overpriced. This second hand one summoned exactly the right dragon at the right time.  This is a second hand enchanted mirror called 'FilterFree Reflection'. Came with some notes scribbled in the margins that were actually very helpful.
69,2024-09-11,haunted ring,Ghosted Band,Listing said 'lightly cursed' but I am now on my third exorcist this week.  Ring keeps buzzing whenever I text the wrong person. This is a second hand haunted ring called 'Ghosted Band'. Seller included a warning note that I really should have taken more seriously.
70,2021-06-04,summoning candle,Customer Support Candle,"Does technically work, but it keeps calling my mom to report my life choices.  Comes with a hold music curse whenever you put it out. Lighting it after midnight connects you to something like customer service for demons. This is a second hand summoning candle called 'Customer Support Candle'. Clearly had a long life before me, but it still has plenty of magic left."
71,2025-05-08,necromancer's grimoire,Skeleton Crew Manual,The previous owner's problems were clearly not wiped. I keep getting their exes texting me to break up again.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Skeleton Crew Manual'. Seller included a warning note that I really should have taken more seriously.
72,2025-09-26,teleportation stone,DelayPort Rock,"Second hand was a mistake. Every time I use it, I get what I asked for, plus one minor catastrophe.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'DelayPort Rock'. Came with some notes scribbled in the margins that were actually very helpful."
73,2021-11-05,love potion,CupidLeak,"Fine if you read all the warnings. I did not. That part is on me.  Ex keeps trying to borrow it, which feels like a red flag. Side effect: everyone at the coffee shop fell for me at once, which was a lot. This is a second hand love potion called 'CupidLeak'. Came with some notes scribbled in the margins that were actually very helpful."
74,2021-08-31,dragon egg,Suspicious Rock,"Second hand was a mistake. Every time I use it, I get what I asked for, plus one minor catastrophe.  Hatched in the sink. Landlord not thrilled, dragon is adorable though. This is a second hand dragon egg called 'Suspicious Rock'. You can still feel a bit of the previous owner's energy in the item."
75,2025-08-05,teleportation stone,Almost There Pebble,"Second hand was a mistake. Every time I use it, I get what I asked for, plus one minor catastrophe.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'Almost There Pebble'. Clearly had a long life before me, but it still has plenty of magic left."
76,2021-05-19,time hourglass,Weekend Extender,"It works, but there is definitely some history attached. You can hear it sigh every time you pick it up.  Great for getting five more minutes of sleep which somehow become an extra week in 2003. This is a second hand time hourglass called 'Weekend Extender'. Came with some notes scribbled in the margins that were actually very helpful."
77,2021-03-20,wish coin,Forked Fate Token,"Not great, not terrible. Worked twice, set the toaster on fire once.  Every wish comes true, but slightly misaligned, like using autocorrect on reality. This is a second hand wish coin called 'Forked Fate Token'. Clearly had a long life before me, but it still has plenty of magic left."
78,2021-08-29,necromancer's grimoire,Raise And Shine Handbook,"Not great, not terrible. Worked twice, set the toaster on fire once.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Raise And Shine Handbook'. Seller included a warning note that I really should have taken more seriously."
79,2024-05-02,cursed doll,Grandma's Knitter,"The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Only speaks at night and only in petty complaints about my life choices. Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. This is a second hand cursed doll called 'Grandma's Knitter'. Came with some notes scribbled in the margins that were actually very helpful."
80,2024-01-31,wish coin,Regret Nickel,"Second hand was a mistake. Every time I use it, I get what I asked for, plus one minor catastrophe.  Every wish comes true, but slightly misaligned, like using autocorrect on reality. This is a second hand wish coin called 'Regret Nickel'. Seller included a warning note that I really should have taken more seriously."
81,2021-11-30,necromancer's grimoire,Group Chat With The Dead,"Previous owner clearly did not read the manual. Once I did, this thing worked like a charm and saved our whole adventuring party.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Group Chat With The Dead'. Came with some notes scribbled in the margins that were actually very helpful."
82,2024-09-18,cursed doll,Annabell-ish,"Slightly cracked, extremely cursed. My landlord is now a frog and I am being investigated.  Only speaks at night and only in petty complaints about my life choices. Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. This is a second hand cursed doll called 'Annabell-ish'. You can still feel a bit of the previous owner's energy in the item."
83,2021-01-26,teleportation stone,Lag Portal Stone,"Box said 'slightly haunted' but the ghost just gives relationship advice and makes tea. Fantastic value.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'Lag Portal Stone'. You can still feel a bit of the previous owner's energy in the item."
84,2021-02-02,necromancer's grimoire,Raise And Shine Handbook,"Slightly cracked, extremely cursed. My landlord is now a frog and I am being investigated.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Raise And Shine Handbook'. Clearly had a long life before me, but it still has plenty of magic left."
85,2023-02-20,necromancer's grimoire,Raise And Shine Handbook,The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Raise And Shine Handbook'. Came with some notes scribbled in the margins that were actually very helpful.
86,2021-10-24,cursed doll,Grandma's Knitter,"Listing said 'lightly cursed' but I am now on my third exorcist this week.  Only speaks at night and only in petty complaints about my life choices. Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. This is a second hand cursed doll called 'Grandma's Knitter'. Clearly had a long life before me, but it still has plenty of magic left."
87,2025-05-28,magic carpet,Patchwork Glider,"Fine if you read all the warnings. I did not. That part is on me.  Previous owner's crumbs are still in the fabric and occasionally reassemble into tiny bread elementals. Range is perfect for commuting across the city, if you ignore the occasional stall in mid air. This is a second hand magic carpet called 'Patchwork Glider'. You can still feel a bit of the previous owner's energy in the item."
88,2025-08-05,lucky charm,Lottery Maybe Keychain,"Light wear, strong magic. Managed to overthrow a corrupt mayor and replace him with a competent skeleton.  This is a second hand lucky charm called 'Lottery Maybe Keychain'. Came with some notes scribbled in the margins that were actually very helpful."
89,2023-12-25,enchanted mirror,Truthframe 3000,"Light wear, strong magic. Managed to overthrow a corrupt mayor and replace him with a competent skeleton.  This is a second hand enchanted mirror called 'Truthframe 3000'. Seller included a warning note that I really should have taken more seriously."
90,2023-03-28,invisibility cloak,Social Exit Cape,"Honestly a bargain. Retail spellbooks are overpriced. This second hand one summoned exactly the right dragon at the right time.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Social Exit Cape'. You can still feel a bit of the previous owner's energy in the item."
91,2021-08-24,love potion,Lonely No More Vial,"Used it at a family reunion. No casualties and everyone finally apologized. That alone is worth five stars.  Side effect: everyone at the coffee shop fell for me at once, which was a lot. Ex keeps trying to borrow it, which feels like a red flag. Used it on a dating app meetup and things escalated into a royal engagement. This is a second hand love potion called 'Lonely No More Vial'. You can still feel a bit of the previous owner's energy in the item."
92,2023-03-22,love potion,CupidLeak,"Bought this second hand and honestly it changed my life. Used it once and now I am technically a minor king of a small valley.  Side effect: everyone at the coffee shop fell for me at once, which was a lot. This is a second hand love potion called 'CupidLeak'. Came with some notes scribbled in the margins that were actually very helpful."
93,2021-12-14,lucky charm,Traffic Light Clover,"Second hand was a mistake. Every time I use it, I get what I asked for, plus one minor catastrophe.  This is a second hand lucky charm called 'Traffic Light Clover'. Clearly had a long life before me, but it still has plenty of magic left."
94,2021-07-07,enchanted mirror,Exposer Glass,Box said 'slightly haunted' but the ghost just gives relationship advice and makes tea. Fantastic value.  This is a second hand enchanted mirror called 'Exposer Glass'. You can still feel a bit of the previous owner's energy in the item.
95,2024-02-16,teleportation stone,DelayPort Rock,"It works, but there is definitely some history attached. You can hear it sigh every time you pick it up.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'DelayPort Rock'. You can still feel a bit of the previous owner's energy in the item."
96,2025-04-21,haunted ring,Spectral Promise,"Previous owner clearly did not read the manual. Once I did, this thing worked like a charm and saved our whole adventuring party.  Ring keeps buzzing whenever I text the wrong person. This is a second hand haunted ring called 'Spectral Promise'. Came with some notes scribbled in the margins that were actually very helpful."
97,2023-12-05,dragon egg,Fire Hazard Egg,"Fine if you read all the warnings. I did not. That part is on me.  Hatched in the sink. Landlord not thrilled, dragon is adorable though. This is a second hand dragon egg called 'Fire Hazard Egg'. You can still feel a bit of the previous owner's energy in the item."
98,2025-10-21,time hourglass,ChronoDrip,Arrived sticky and haunted. The demon will not stop giving me productivity tips at 3 in the morning.  Great for getting five more minutes of sleep which somehow become an extra week in 2003. This is a second hand time hourglass called 'ChronoDrip'. Seller included a warning note that I really should have taken more seriously.
99,2022-04-24,teleportation stone,Lag Portal Stone,"It works, but there is definitely some history attached. You can hear it sigh every time you pick it up.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'Lag Portal Stone'. Seller included a warning note that I really should have taken more seriously."
100,2022-06-03,necromancer's grimoire,Raise And Shine Handbook,Advertised as 'great for beginners' but the manual is in screams and the refund policy is a joke.  Brought my group chat back from the dead. They immediately started sending memes again. This is a second hand necromancer's grimoire called 'Raise And Shine Handbook'. Seller included a warning note that I really should have taken more seriously.
101,2021-02-05,invisibility cloak,Social Exit Cape,"Three uses in and my house plants have unionised. Two stars because the glowing is nice at night.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Social Exit Cape'. Seller included a warning note that I really should have taken more seriously."
102,2023-12-28,cursed doll,Annabell-ish,"Light wear, strong magic. Managed to overthrow a corrupt mayor and replace him with a competent skeleton.  Put it in the closet, it moved to the kitchen and made coffee. Confusing but helpful. Only speaks at night and only in petty complaints about my life choices. This is a second hand cursed doll called 'Annabell-ish'. Clearly had a long life before me, but it still has plenty of magic left."
103,2023-12-19,love potion,Swipe Right Serum,"Good starter item if you are okay with minor hauntings and occasional time loops.  Ex keeps trying to borrow it, which feels like a red flag. Used it on a dating app meetup and things escalated into a royal engagement. This is a second hand love potion called 'Swipe Right Serum'. Seller included a warning note that I really should have taken more seriously."
