id,review_date,purchased_date,product_type,product_name,score,review_text,region,rarity,price
24,2025-11-14,2025-09-12,nightmare incense,Nightmare Incense of Quiet Ruin,7,"Still learning the subtleties of fear magic, but this helped… a little. The last owner’s soul imprint was still inside. I ate it. Hard to store safely without melting nearby furniture. A worthy step toward my inevitable reign.",Sunless Empire,rare,633.23
25,2025-11-15,2025-09-04,demon-binding chain,Demon-Binding Chain of Endless Night,5,"I have shattered kingdoms with less. It crackles with barely contained malice. Attracts crows. I don’t mind, but still. One more piece in my grand design.",Netherdark Expanse,legendary,9030.06
26,2025-11-16,2025-10-27,cursed scepter,Cursed Scepter of Quiet Ruin,4,I have shattered kingdoms with less. It crackles with barely contained malice. Could use more stability during large scale rituals. Would buy again before the final conquest.,Shadowfell Plains,legendary,3061.15
27,2025-11-16,2025-08-30,shadow crown,Shadow Crown of Whispered Doom,3,"Still learning the subtleties of fear magic, but this helped… a little. Frightened my underlings just by unboxing it. Attracts crows. I don’t mind, but still. Not perfect, but sufficient for world shaping.",Blackspire Dominion,uncommon,171.45
28,2025-11-13,2025-08-15,obsidian spellstone,Obsidian Spellstone of Eternal Dread,4,The lesser warlords will tremble when they see this. Its aura gnaws pleasantly at the edges of my mind. Smelled faintly of despair and burnt moss. A worthy step toward my inevitable reign.,Blackspire Dominion,epic,1716.1
29,2025-11-16,2025-11-02,demon-binding chain,Demon-Binding Chain of the Unbroken Void,6,"I am but an apprentice of darkness, yet even I can feel its pull. The last owner’s soul imprint was still inside. I ate it. Attracts crows. I don’t mind, but still. A fine instrument of future domination.",Gravewind Frontier,rare,898.72
30,2025-11-17,2025-10-07,cursed scepter,Cursed Scepter of Endless Night,2,It is adequate for one of my stature. Its aura gnaws pleasantly at the edges of my mind. The manual was written in screaming runes again. One more piece in my grand design.,Blackspire Dominion,rare,489.72
31,2025-11-14,2025-11-02,demon-binding chain,Demon-Binding Chain of the Unbroken Void,10,"I am but an apprentice of darkness, yet even I can feel its pull. The last owner’s soul imprint was still inside. I ate it. Hard to store safely without melting nearby furniture. My rivals will envy this, right before their fall.",Wyrmrot Valley,rare,601.1
32,2025-11-14,2025-09-16,nether cloak,Nether Cloak of Whispered Doom,4,"I am but an apprentice of darkness, yet even I can feel its pull. I tested it on a minor village. Results were promising. Slightly exploded once, but only a little. Not perfect, but sufficient for world shaping.",Gravewind Frontier,rare,780.19
33,2025-11-12,2025-09-22,wraith lantern,Wraith Lantern of the Unbroken Void,10,"This will serve well in my rising campaigns. The power hums like a distant scream. Delightful. It whispers insults when I’m trying to sleep. Not perfect, but sufficient for world shaping.",Wyrmrot Valley,epic,2997.12
34,2025-11-16,2025-11-04,obsidian spellstone,Obsidian Spellstone of Crawling Shadows,7,"It is adequate for one of my stature. I tested it on a minor village. Results were promising. Could use more stability during large scale rituals. Not perfect, but sufficient for world shaping.",Gravewind Frontier,rare,348.73
35,2025-11-14,2025-09-14,torment crystal,Torment Crystal of the Final Dominion,4,"It is adequate for one of my stature. I tested it on a minor village. Results were promising. Could use more stability during large scale rituals. My rivals will envy this, right before their fall.",Ashen Wastes,rare,521.85
36,2025-11-14,2025-10-13,infernal gauntlet,Infernal Gauntlet of Endless Night,9,"The world will kneel soon enough. Frightened my underlings just by unboxing it. Slightly exploded once, but only a little. Not perfect, but sufficient for world shaping.",Blackspire Dominion,rare,739.04
37,2025-11-14,2025-09-10,obsidian spellstone,Obsidian Spellstone of the Bleak Star,9,"I have shattered kingdoms with less. I tested it on a minor village. Results were promising. It whispers insults when I’m trying to sleep. Not perfect, but sufficient for world shaping.",Shadowfell Plains,common,50.07
38,2025-11-18,2025-11-04,infernal gauntlet,Infernal Gauntlet of the Bleak Star,10,"This will serve well in my rising campaigns. It crackles with barely contained malice. Attracts crows. I don’t mind, but still. Would buy again before the final conquest.",Blackspire Dominion,legendary,6962.21
39,2025-11-16,2025-10-11,void summoning tome,Void Summoning Tome of Quiet Ruin,8,"It is adequate for one of my stature. It leaked a bit of shadow essence, but that’s normal. Hard to store safely without melting nearby furniture. A fine instrument of future domination.",Blackspire Dominion,epic,1612.75
40,2025-11-14,2025-10-18,infernal gauntlet,Infernal Gauntlet of Endless Night,2,"Not my first artifact, and certainly not my last. Its aura gnaws pleasantly at the edges of my mind. Could use more stability during large scale rituals. One more piece in my grand design.",Netherdark Expanse,legendary,12483.0
41,2025-11-17,2025-09-19,shadow crown,Shadow Crown of the Thousand Screams,7,"Still learning the subtleties of fear magic, but this helped… a little. The power hums like a distant scream. Delightful. Attracts crows. I don’t mind, but still. A worthy step toward my inevitable reign.",Netherdark Expanse,rare,652.85
42,2025-11-13,2025-11-05,cursed scepter,Cursed Scepter of the Bleak Star,5,"Not my first artifact, and certainly not my last. The power hums like a distant scream. Delightful. Smelled faintly of despair and burnt moss. Would buy again before the final conquest.",Netherdark Expanse,uncommon,287.65
43,2025-11-18,2025-10-13,demon-binding chain,Demon-Binding Chain of Whispered Doom,1,It is adequate for one of my stature. The last owner’s soul imprint was still inside. I ate it. The manual was written in screaming runes again. A fine instrument of future domination.,Shadowfell Plains,uncommon,170.77
44,2025-11-15,2025-09-07,void summoning tome,Void Summoning Tome of the Final Dominion,10,I have shattered kingdoms with less. The last owner’s soul imprint was still inside. I ate it. Hard to store safely without melting nearby furniture. A worthy step toward my inevitable reign.,Bleakmount Citadel,common,42.58
45,2025-11-12,2025-09-11,cursed scepter,Cursed Scepter of the Bleak Star,2,"If I am to conquer anything someday, I must start with proper supplies. It leaked a bit of shadow essence, but that’s normal. It whispers insults when I’m trying to sleep. Not perfect, but sufficient for world shaping.",Ashen Wastes,rare,425.94
46,2025-11-18,2025-08-25,void summoning tome,Void Summoning Tome of the Bleak Star,9,"Not my first artifact, and certainly not my last. Its aura gnaws pleasantly at the edges of my mind. Slightly exploded once, but only a little. A fine instrument of future domination.",Gravewind Frontier,legendary,8930.19
47,2025-11-15,2025-10-07,infernal gauntlet,Infernal Gauntlet of Whispered Doom,10,"A tool befitting a future ruler of all realms. It leaked a bit of shadow essence, but that’s normal. The manual was written in screaming runes again. My rivals will envy this, right before their fall.",Netherdark Expanse,uncommon,250.96
48,2025-11-12,2025-10-15,torment crystal,Torment Crystal of Eternal Dread,7,"I am but an apprentice of darkness, yet even I can feel its pull. I tested it on a minor village. Results were promising. Attracts crows. I don’t mind, but still. One more piece in my grand design.",Sunless Empire,rare,795.16
49,2025-11-16,2025-09-29,infernal gauntlet,Infernal Gauntlet of Endless Night,2,"I am but an apprentice of darkness, yet even I can feel its pull. It crackles with barely contained malice. Hard to store safely without melting nearby furniture. My rivals will envy this, right before their fall.",Ashen Wastes,rare,560.52
50,2025-11-12,2025-09-28,demon-binding chain,Demon-Binding Chain of Endless Night,5,"Still learning the subtleties of fear magic, but this helped… a little. The power hums like a distant scream. Delightful. Could use more stability during large scale rituals. A worthy step toward my inevitable reign.",Obsidian Coast,rare,548.16
51,2025-11-17,2025-09-24,demon-binding chain,Demon-Binding Chain of the Bleak Star,6,The world will kneel soon enough. Frightened my underlings just by unboxing it. The manual was written in screaming runes again. Would buy again before the final conquest.,Netherdark Expanse,uncommon,180.22
52,2025-11-18,2025-10-10,domination orb,Domination Orb of the Unbroken Void,5,I have shattered kingdoms with less. The last owner’s soul imprint was still inside. I ate it. Smelled faintly of despair and burnt moss. A worthy step toward my inevitable reign.,Dreadwall Keep,epic,2529.71
53,2025-11-12,2025-09-02,soul siphon dagger,Soul Siphon Dagger of the Bleak Star,8,"I have shattered kingdoms with less. Frightened my underlings just by unboxing it. Could use more stability during large scale rituals. My rivals will envy this, right before their fall.",Wyrmrot Valley,uncommon,290.9
54,2025-11-16,2025-09-03,domination orb,Domination Orb of the Final Dominion,4,"A tool befitting a future ruler of all realms. I tested it on a minor village. Results were promising. Hard to store safely without melting nearby furniture. My rivals will envy this, right before their fall.",Dreadwall Keep,common,94.26
55,2025-11-17,2025-09-08,obsidian spellstone,Obsidian Spellstone of Quiet Ruin,5,The lesser warlords will tremble when they see this. It crackles with barely contained malice. Could use more stability during large scale rituals. A worthy step toward my inevitable reign.,Blackspire Dominion,legendary,3885.33
56,2025-11-14,2025-11-04,nether cloak,Nether Cloak of the Thousand Screams,7,It is adequate for one of my stature. It crackles with barely contained malice. Could use more stability during large scale rituals. Would buy again before the final conquest.,Obsidian Coast,common,72.36
57,2025-11-15,2025-08-18,nightmare incense,Nightmare Incense of Endless Night,10,"Not my first artifact, and certainly not my last. The power hums like a distant scream. Delightful. Could use more stability during large scale rituals. Not perfect, but sufficient for world shaping.",Ashen Wastes,uncommon,291.75
58,2025-11-16,2025-10-09,infernal gauntlet,Infernal Gauntlet of the Final Dominion,5,The world will kneel soon enough. I tested it on a minor village. Results were promising. Could use more stability during large scale rituals. A worthy step toward my inevitable reign.,Bleakmount Citadel,legendary,4633.44
59,2025-11-17,2025-09-23,torment crystal,Torment Crystal of Quiet Ruin,10,"I am but an apprentice of darkness, yet even I can feel its pull. The power hums like a distant scream. Delightful. Could use more stability during large scale rituals. One more piece in my grand design.",Sunless Empire,uncommon,267.61
60,2025-11-18,2025-09-24,nether cloak,Nether Cloak of Crawling Shadows,2,A respectable addition to my growing arsenal. Its aura gnaws pleasantly at the edges of my mind. It whispers insults when I’m trying to sleep. A worthy step toward my inevitable reign.,Dreadwall Keep,rare,495.93
61,2025-11-15,2025-09-27,obsidian spellstone,Obsidian Spellstone of Crawling Shadows,2,"The lesser warlords will tremble when they see this. The last owner’s soul imprint was still inside. I ate it. Attracts crows. I don’t mind, but still. One more piece in my grand design.",Bleakmount Citadel,common,93.75
62,2025-11-17,2025-10-26,torment crystal,Torment Crystal of the Unbroken Void,8,I have shattered kingdoms with less. Frightened my underlings just by unboxing it. It whispers insults when I’m trying to sleep. A fine instrument of future domination.,Netherdark Expanse,legendary,13283.46
63,2025-11-12,2025-10-21,obsidian spellstone,Obsidian Spellstone of Eternal Dread,8,"I am but an apprentice of darkness, yet even I can feel its pull. Its aura gnaws pleasantly at the edges of my mind. The manual was written in screaming runes again. My rivals will envy this, right before their fall.",Wyrmrot Valley,common,20.62
64,2025-11-16,2025-10-03,cursed scepter,Cursed Scepter of Whispered Doom,10,"The lesser warlords will tremble when they see this. The last owner’s soul imprint was still inside. I ate it. Slightly exploded once, but only a little. Would buy again before the final conquest.",Netherdark Expanse,common,28.81
65,2025-11-14,2025-08-20,domination orb,Domination Orb of the Unbroken Void,7,"Not my first artifact, and certainly not my last. Its aura gnaws pleasantly at the edges of my mind. Slightly exploded once, but only a little. Would buy again before the final conquest.",Gravewind Frontier,common,66.98
66,2025-11-16,2025-08-23,obsidian spellstone,Obsidian Spellstone of Whispered Doom,8,"I am but an apprentice of darkness, yet even I can feel its pull. I tested it on a minor village. Results were promising. Smelled faintly of despair and burnt moss. My rivals will envy this, right before their fall.",Bleakmount Citadel,common,75.77
67,2025-11-15,2025-09-04,blackfire amulet,Blackfire Amulet of Quiet Ruin,7,"I am but an apprentice of darkness, yet even I can feel its pull. It leaked a bit of shadow essence, but that’s normal. Smelled faintly of despair and burnt moss. Would buy again before the final conquest.",Gravewind Frontier,epic,2461.89
68,2025-11-17,2025-10-25,demon-binding chain,Demon-Binding Chain of Crawling Shadows,5,"My tutors warned me not to buy this, which only made me want it more. I tested it on a minor village. Results were promising. Attracts crows. I don’t mind, but still. Would buy again before the final conquest.",Bleakmount Citadel,epic,2162.41
69,2025-11-15,2025-09-13,nether cloak,Nether Cloak of the Final Dominion,3,"A tool befitting a future ruler of all realms. I tested it on a minor village. Results were promising. Slightly exploded once, but only a little. A worthy step toward my inevitable reign.",Bleakmount Citadel,common,73.12
70,2025-11-14,2025-10-16,infernal gauntlet,Infernal Gauntlet of the Unbroken Void,8,"The world will kneel soon enough. It leaked a bit of shadow essence, but that’s normal. It whispers insults when I’m trying to sleep. Would buy again before the final conquest.",Sunless Empire,common,77.89
71,2025-11-15,2025-08-31,blackfire amulet,Blackfire Amulet of the Thousand Screams,10,"A tool befitting a future ruler of all realms. I tested it on a minor village. Results were promising. Attracts crows. I don’t mind, but still. Not perfect, but sufficient for world shaping.",Blackspire Dominion,rare,605.31
72,2025-11-17,2025-09-21,torment crystal,Torment Crystal of Whispered Doom,9,"My tutors warned me not to buy this, which only made me want it more. I tested it on a minor village. Results were promising. It whispers insults when I’m trying to sleep. My rivals will envy this, right before their fall.",Obsidian Coast,uncommon,193.37
73,2025-11-17,2025-09-10,blackfire amulet,Blackfire Amulet of Crawling Shadows,6,It is adequate for one of my stature. Its aura gnaws pleasantly at the edges of my mind. Could use more stability during large scale rituals. A worthy step toward my inevitable reign.,Sunless Empire,common,94.81
74,2025-11-16,2025-09-09,cursed scepter,Cursed Scepter of the Thousand Screams,5,"A respectable addition to my growing arsenal. It leaked a bit of shadow essence, but that’s normal. Smelled faintly of despair and burnt moss. Not perfect, but sufficient for world shaping.",Obsidian Coast,uncommon,106.1
75,2025-11-18,2025-10-17,shadow crown,Shadow Crown of Eternal Dread,8,A tool befitting a future ruler of all realms. I tested it on a minor village. Results were promising. Smelled faintly of despair and burnt moss. One more piece in my grand design.,Netherdark Expanse,common,65.07
76,2025-11-17,2025-10-03,obsidian spellstone,Obsidian Spellstone of the Bleak Star,6,"My tutors warned me not to buy this, which only made me want it more. It leaked a bit of shadow essence, but that’s normal. It whispers insults when I’m trying to sleep. One more piece in my grand design.",Ashen Wastes,rare,410.46
77,2025-11-18,2025-11-02,demon-binding chain,Demon-Binding Chain of Endless Night,3,"A respectable addition to my growing arsenal. I tested it on a minor village. Results were promising. Attracts crows. I don’t mind, but still. Not perfect, but sufficient for world shaping.",Gravewind Frontier,common,22.75
78,2025-11-17,2025-10-17,cursed scepter,Cursed Scepter of Crawling Shadows,1,"Not my first artifact, and certainly not my last. It crackles with barely contained malice. The manual was written in screaming runes again. A fine instrument of future domination.",Shadowfell Plains,uncommon,102.93
79,2025-11-18,2025-08-31,nightmare incense,Nightmare Incense of Crawling Shadows,5,A respectable addition to my growing arsenal. Its aura gnaws pleasantly at the edges of my mind. Could use more stability during large scale rituals. A fine instrument of future domination.,Sunless Empire,uncommon,233.13
80,2025-11-13,2025-09-19,wraith lantern,Wraith Lantern of Eternal Dread,9,"I am but an apprentice of darkness, yet even I can feel its pull. I tested it on a minor village. Results were promising. Slightly exploded once, but only a little. One more piece in my grand design.",Blackspire Dominion,common,35.56
81,2025-11-13,2025-10-13,void summoning tome,Void Summoning Tome of Quiet Ruin,5,The world will kneel soon enough. The last owner’s soul imprint was still inside. I ate it. It whispers insults when I’m trying to sleep. A worthy step toward my inevitable reign.,Sunless Empire,rare,370.27
82,2025-11-18,2025-11-13,demon-binding chain,Demon-Binding Chain of Endless Night,6,A tool befitting a future ruler of all realms. Its aura gnaws pleasantly at the edges of my mind. Hard to store safely without melting nearby furniture. Would buy again before the final conquest.,Blackspire Dominion,rare,565.15
83,2025-11-17,2025-08-20,domination orb,Domination Orb of the Unbroken Void,3,"I am but an apprentice of darkness, yet even I can feel its pull. Frightened my underlings just by unboxing it. The manual was written in screaming runes again. Would buy again before the final conquest.",Obsidian Coast,epic,1781.47
84,2025-11-13,2025-09-06,blackfire amulet,Blackfire Amulet of Crawling Shadows,6,"My tutors warned me not to buy this, which only made me want it more. I tested it on a minor village. Results were promising. Could use more stability during large scale rituals. Not perfect, but sufficient for world shaping.",Blackspire Dominion,rare,563.67
85,2025-11-15,2025-09-27,domination orb,Domination Orb of the Bleak Star,8,"The lesser warlords will tremble when they see this. It leaked a bit of shadow essence, but that’s normal. Smelled faintly of despair and burnt moss. A fine instrument of future domination.",Bleakmount Citadel,common,86.68
86,2025-11-18,2025-10-17,infernal gauntlet,Infernal Gauntlet of the Unbroken Void,7,"My tutors warned me not to buy this, which only made me want it more. Its aura gnaws pleasantly at the edges of my mind. It whispers insults when I’m trying to sleep. A worthy step toward my inevitable reign.",Shadowfell Plains,common,27.42
87,2025-11-15,2025-10-19,void summoning tome,Void Summoning Tome of the Bleak Star,3,It is adequate for one of my stature. The last owner’s soul imprint was still inside. I ate it. Smelled faintly of despair and burnt moss. A worthy step toward my inevitable reign.,Wyrmrot Valley,common,33.78
88,2025-11-17,2025-08-30,demon-binding chain,Demon-Binding Chain of Whispered Doom,3,"A tool befitting a future ruler of all realms. I tested it on a minor village. Results were promising. Smelled faintly of despair and burnt moss. Not perfect, but sufficient for world shaping.",Gravewind Frontier,legendary,9561.39
89,2025-11-16,2025-10-16,blackfire amulet,Blackfire Amulet of the Bleak Star,5,"Not my first artifact, and certainly not my last. The last owner’s soul imprint was still inside. I ate it. Smelled faintly of despair and burnt moss. One more piece in my grand design.",Dreadwall Keep,legendary,13927.61
90,2025-11-15,2025-09-06,nether cloak,Nether Cloak of the Thousand Screams,10,"The world will kneel soon enough. It leaked a bit of shadow essence, but that’s normal. Slightly exploded once, but only a little. Not perfect, but sufficient for world shaping.",Bleakmount Citadel,uncommon,199.79
91,2025-11-15,2025-11-04,torment crystal,Torment Crystal of Quiet Ruin,5,"Still learning the subtleties of fear magic, but this helped… a little. It crackles with barely contained malice. Could use more stability during large scale rituals. One more piece in my grand design.",Sunless Empire,common,87.75
92,2025-11-13,2025-08-18,blackfire amulet,Blackfire Amulet of Crawling Shadows,1,"I am but an apprentice of darkness, yet even I can feel its pull. The power hums like a distant scream. Delightful. It whispers insults when I’m trying to sleep. A worthy step toward my inevitable reign.",Ashen Wastes,uncommon,229.21
93,2025-11-14,2025-09-06,obsidian spellstone,Obsidian Spellstone of Quiet Ruin,10,The lesser warlords will tremble when they see this. It crackles with barely contained malice. Smelled faintly of despair and burnt moss. A fine instrument of future domination.,Bleakmount Citadel,rare,899.59
94,2025-11-16,2025-11-09,wraith lantern,Wraith Lantern of the Final Dominion,5,"If I am to conquer anything someday, I must start with proper supplies. I tested it on a minor village. Results were promising. Could use more stability during large scale rituals. One more piece in my grand design.",Obsidian Coast,epic,1844.19
95,2025-11-15,2025-11-05,void summoning tome,Void Summoning Tome of the Final Dominion,7,"Not my first artifact, and certainly not my last. The power hums like a distant scream. Delightful. Hard to store safely without melting nearby furniture. My rivals will envy this, right before their fall.",Bleakmount Citadel,legendary,7791.89
96,2025-11-12,2025-09-25,blackfire amulet,Blackfire Amulet of the Final Dominion,2,"I am but an apprentice of darkness, yet even I can feel its pull. The power hums like a distant scream. Delightful. Smelled faintly of despair and burnt moss. A fine instrument of future domination.",Gravewind Frontier,uncommon,149.7
97,2025-11-16,2025-10-23,blackfire amulet,Blackfire Amulet of Crawling Shadows,7,"If I am to conquer anything someday, I must start with proper supplies. It leaked a bit of shadow essence, but that’s normal. It whispers insults when I’m trying to sleep. One more piece in my grand design.",Blackspire Dominion,epic,2557.63
98,2025-11-12,2025-09-20,torment crystal,Torment Crystal of Eternal Dread,9,"The lesser warlords will tremble when they see this. It leaked a bit of shadow essence, but that’s normal. Attracts crows. I don’t mind, but still. A worthy step toward my inevitable reign.",Netherdark Expanse,rare,899.37
99,2025-11-13,2025-10-30,shadow crown,Shadow Crown of Quiet Ruin,8,"Not my first artifact, and certainly not my last. I tested it on a minor village. Results were promising. Attracts crows. I don’t mind, but still. Not perfect, but sufficient for world shaping.",Dreadwall Keep,rare,895.96
100,2025-11-13,2025-09-06,void summoning tome,Void Summoning Tome of the Bleak Star,6,"The lesser warlords will tremble when they see this. It leaked a bit of shadow essence, but that’s normal. Attracts crows. I don’t mind, but still. A worthy step toward my inevitable reign.",Sunless Empire,legendary,5885.43
101,2025-11-14,2025-09-06,blessing talisman,Blessing Talisman of Gentle Stars,9,"In my efforts to guard the weak, this proved quite helpful. Its magic carried no deceit or hidden twist. Carried a faint musical hum when active. This will serve me well in the seasons ahead.",Azure Valley,legendary,5929.79
102,2025-11-13,2025-09-02,protective ward stone,Protective Ward Stone of the Shining Path,9,"Even with centuries of study, I find rare items that still impress me. Its light answered quickly when called. Glows brighter than expected at times. A fitting ally in troubled days.",Highlands of Aurelin,uncommon,103.43
103,2025-11-13,2025-08-17,guardian sigil,Guardian Sigil of Steady Heart,1,"My mentors said I should choose tools wisely, and this felt right. It resonated well with protective intent. A bit slow to attune but worth the patience. A fitting ally in troubled days.",Old Mage Conclave,legendary,2034.61
104,2025-11-18,2025-11-03,protective ward stone,Protective Ward Stone of Steady Heart,3,"I am new to the path of light, yet this served me well. It resonated well with protective intent. Prone to attracting small harmless spirits. This will serve me well in the seasons ahead.",Silverpeak Sanctum,common,59.09
105,2025-11-18,2025-11-06,windsinger flute,Windsinger Flute of Soft Guidance,9,"Solid and dependable, just what a working wizard requires. It resonated well with protective intent. Slightly warm to the touch but harmless. A trustworthy tool for those who stand against the shadow.",Sunward Coast,legendary,4687.69
106,2025-11-17,2025-10-21,truthfinding orb,Truthfinding Orb of True Light,9,"In my efforts to guard the weak, this proved quite helpful. Its light answered quickly when called. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.",Ivory Spire Provinces,legendary,3964.63
107,2025-11-14,2025-11-04,starbound scroll,Starbound Scroll of True Light,6,"Solid and dependable, just what a working wizard requires. The aura settled gently in the hands. A bit slow to attune but worth the patience. This will serve me well in the seasons ahead.",Highlands of Aurelin,common,35.85
108,2025-11-15,2025-10-11,guiding lantern,Guiding Lantern of the Clear Mind,9,"In my efforts to guard the weak, this proved quite helpful. Its magic carried no deceit or hidden twist. Prone to attracting small harmless spirits. A fitting ally in troubled days.",Sunward Coast,common,58.25
109,2025-11-16,2025-07-29,protective ward stone,Protective Ward Stone of the Shining Path,1,"Even with centuries of study, I find rare items that still impress me. The spellwork felt clean and intentional. Carried a faint musical hum when active. A fitting ally in troubled days.",Highlands of Aurelin,epic,1099.98
110,2025-11-14,2025-07-17,lightweave cloak,Lightweave Cloak of Bright Hope,3,"As a young wizard still learning restraint, I found comfort in this. Its magic carried no deceit or hidden twist. Glows brighter than expected at times. A gentle reminder that not all magic brings fear.",Sunward Coast,epic,993.22
